K-1,¡ãC,,,,,,,,,,,,,,,,,,
No,Date,Time,CH10,CH11,CH12,dis,,,,,,,,,,,,,
15,3/11/2024,0:03:12,30.8,29.2,29.5,1.6,,,,30,27.8,2.2,,1/2/2016,10:36:40,30.3,28.9,29,1.4
16,3/11/2024,0:03:22,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:36:50,30.3,28.9,29,1.4
17,3/11/2024,0:03:32,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:00,30.3,29,29,1.3
18,3/11/2024,0:03:42,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:10,30.3,29,29,1.3
19,3/11/2024,0:03:52,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:20,30.3,29,29,1.3
20,3/11/2024,0:04:02,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:31,30.3,29,29,1.3
21,3/11/2024,0:04:12,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:41,30.3,29,29,1.3
22,3/11/2024,0:04:23,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:37:51,30.3,29,29,1.3
23,3/11/2024,0:04:33,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:01,30.3,29,29,1.3
24,3/11/2024,0:04:43,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:11,30.3,29,29,1.3
25,3/11/2024,0:04:53,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:21,30.3,29,29,1.3
26,3/11/2024,0:05:03,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:31,30.3,29,29,1.3
27,3/11/2024,0:05:13,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:41,30.3,29,29,1.3
28,3/11/2024,0:05:23,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:38:51,30.3,29,29,1.3
29,3/11/2024,0:05:33,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:39:01,30.3,29,29.1,1.3
30,3/11/2024,0:05:43,30.9,29.2,29.5,1.7,,,,30.1,27.9,2.2,,1/2/2016,10:39:11,30.4,29,29,1.4
31,3/11/2024,0:05:53,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:39:22,30.3,29,29.1,1.3
32,3/11/2024,0:06:04,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:39:32,30.4,29,29.1,1.4
33,3/11/2024,0:06:14,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:39:42,30.4,29,29.1,1.4
34,3/11/2024,0:06:24,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:39:52,30.4,29,29.1,1.4
35,3/11/2024,0:06:34,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:02,30.4,29,29.1,1.4
36,3/11/2024,0:06:44,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:12,30.4,29,29.1,1.4
37,3/11/2024,0:06:54,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:22,30.4,29,29.1,1.4
38,3/11/2024,0:07:04,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:32,30.4,29,29.1,1.4
39,3/11/2024,0:07:14,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:42,30.4,29,29.1,1.4
40,3/11/2024,0:07:24,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:40:52,30.4,29,29.1,1.4
41,3/11/2024,0:07:34,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:41:03,30.4,29,29.1,1.4
42,3/11/2024,0:07:45,30.9,29.3,29.5,1.6,,,,30.1,27.9,2.2,,1/2/2016,10:41:13,30.4,29,29.1,1.4
43,3/11/2024,0:07:55,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:41:23,30.4,29,29.1,1.4
44,3/11/2024,0:08:05,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:41:33,30.4,29,29.1,1.4
45,3/11/2024,0:08:15,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:41:43,30.4,29,29.1,1.4
46,3/11/2024,0:08:25,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:41:53,30.4,29,29.1,1.4
47,3/11/2024,0:08:35,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:03,30.4,29.1,29.1,1.3
48,3/11/2024,0:08:45,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:13,30.4,29,29.1,1.4
49,3/11/2024,0:08:55,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:23,30.4,29,29.1,1.4
50,3/11/2024,0:09:05,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:33,30.4,29,29.1,1.4
51,3/11/2024,0:09:15,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:44,30.4,29,29.1,1.4
52,3/11/2024,0:09:26,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:42:54,30.4,29.1,29.1,1.3
53,3/11/2024,0:09:36,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:04,30.4,29.1,29.1,1.3
54,3/11/2024,0:09:46,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:14,30.4,29.1,29.1,1.3
55,3/11/2024,0:09:56,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:24,30.4,29.1,29.1,1.3
56,3/11/2024,0:10:06,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:34,30.4,29.1,29.1,1.3
57,3/11/2024,0:10:16,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:44,30.4,29.1,29.1,1.3
58,3/11/2024,0:10:26,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:43:54,30.4,29.1,29.1,1.3
59,3/11/2024,0:10:36,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:04,30.4,29.1,29.1,1.3
60,3/11/2024,0:10:46,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:14,30.4,29.1,29.1,1.3
61,3/11/2024,0:10:56,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:25,30.4,29.1,29.1,1.3
62,3/11/2024,0:11:07,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:35,30.4,29.1,29.1,1.3
63,3/11/2024,0:11:17,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:45,30.4,29.1,29.1,1.3
64,3/11/2024,0:11:27,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:44:55,30.4,29.1,29.1,1.3
65,3/11/2024,0:11:37,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:45:05,30.4,29.1,29.1,1.3
66,3/11/2024,0:11:47,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:45:15,30.4,29.1,29.1,1.3
67,3/11/2024,0:11:57,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:45:25,30.4,29.1,29.1,1.3
68,3/11/2024,0:12:07,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:45:35,30.4,29.1,29.1,1.3
69,3/11/2024,0:12:17,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:45:45,30.4,29.1,29.1,1.3
70,3/11/2024,0:12:27,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:45:55,30.5,29.1,29.1,1.4
71,3/11/2024,0:12:37,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:06,30.5,29.1,29.1,1.4
72,3/11/2024,0:12:47,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:16,30.5,29.1,29.1,1.4
73,3/11/2024,0:12:58,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:26,30.4,29.1,29.1,1.3
74,3/11/2024,0:13:08,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:36,30.4,29.1,29.1,1.3
75,3/11/2024,0:13:18,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:46,30.5,29.1,29.1,1.4
76,3/11/2024,0:13:28,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:46:56,30.5,29.1,29.1,1.4
77,3/11/2024,0:13:38,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:47:06,30.5,29.1,29.1,1.4
78,3/11/2024,0:13:48,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:47:16,30.5,29.1,29.1,1.4
79,3/11/2024,0:13:58,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:47:26,30.5,29.1,29.1,1.4
80,3/11/2024,0:14:08,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:47:36,30.5,29.1,29.1,1.4
81,3/11/2024,0:14:18,30.8,29.3,29.4,1.5,,,,30,27.8,2.2,,1/2/2016,10:47:47,30.5,29.1,29.1,1.4
82,3/11/2024,0:14:28,30.8,29.3,29.4,1.5,,,,30,27.8,2.2,,1/2/2016,10:47:57,30.5,29.1,29.1,1.4
83,3/11/2024,0:14:39,30.8,29.3,29.4,1.5,,,,30,27.8,2.2,,1/2/2016,10:48:07,30.5,29.1,29.1,1.4
84,3/11/2024,0:14:49,30.8,29.3,29.4,1.5,,,,30,27.8,2.2,,1/2/2016,10:48:17,30.5,29.1,29.1,1.4
85,3/11/2024,0:14:59,30.8,29.3,29.4,1.5,,,,30,27.8,2.2,,1/2/2016,10:48:27,30.5,29.1,29.1,1.4
86,3/11/2024,0:15:09,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:48:37,30.5,29.1,29.1,1.4
87,3/11/2024,0:15:19,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:48:47,30.5,29.1,29.1,1.4
88,3/11/2024,0:15:29,30.8,29.2,29.4,1.6,,,,30,27.8,2.2,,1/2/2016,10:48:57,30.5,29.1,29.1,1.4
89,3/11/2024,0:15:39,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:49:07,30.5,29.1,29.1,1.4
90,3/11/2024,0:15:49,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:49:17,30.5,29.1,29.2,1.4
91,3/11/2024,0:15:59,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:49:28,30.5,29.1,29.2,1.4
92,3/11/2024,0:16:10,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:49:38,30.5,29.1,29.1,1.4
93,3/11/2024,0:16:20,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:49:48,30.5,29.1,29.1,1.4
94,3/11/2024,0:16:30,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:49:58,30.5,29.1,29.2,1.4
95,3/11/2024,0:16:40,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:50:08,30.5,29.1,29.2,1.4
96,3/11/2024,0:16:50,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:50:18,30.5,29.1,29.2,1.4
97,3/11/2024,0:17:00,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:50:28,30.5,29.1,29.2,1.4
98,3/11/2024,0:17:10,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:50:38,30.5,29.1,29.2,1.4
99,3/11/2024,0:17:20,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
100,3/11/2024,0:17:30,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
101,3/11/2024,0:17:40,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
102,3/11/2024,0:17:51,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
103,3/11/2024,0:18:01,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
104,3/11/2024,0:18:11,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
105,3/11/2024,0:18:21,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
106,3/11/2024,0:18:31,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
107,3/11/2024,0:18:41,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
108,3/11/2024,0:18:51,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
109,3/11/2024,0:19:01,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
110,3/11/2024,0:19:11,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
111,3/11/2024,0:19:21,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
112,3/11/2024,0:19:32,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
113,3/11/2024,0:19:42,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
114,3/11/2024,0:19:52,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
115,3/11/2024,0:20:02,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
116,3/11/2024,0:20:12,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
117,3/11/2024,0:20:22,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
118,3/11/2024,0:20:32,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
119,3/11/2024,0:20:42,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
120,3/11/2024,0:20:52,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
121,3/11/2024,0:21:02,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
122,3/11/2024,0:21:12,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
123,3/11/2024,0:21:23,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
124,3/11/2024,0:21:33,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
125,3/11/2024,0:21:43,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
126,3/11/2024,0:21:53,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
127,3/11/2024,0:22:03,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
128,3/11/2024,0:22:13,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
129,3/11/2024,0:22:23,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
130,3/11/2024,0:22:33,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
131,3/11/2024,0:22:43,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
132,3/11/2024,0:22:53,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
133,3/11/2024,0:23:04,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
134,3/11/2024,0:23:14,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
135,3/11/2024,0:23:24,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
136,3/11/2024,0:23:34,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
137,3/11/2024,0:23:44,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
138,3/11/2024,0:23:54,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
139,3/11/2024,0:24:04,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
140,3/11/2024,0:24:14,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
141,3/11/2024,0:24:24,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
142,3/11/2024,0:24:34,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
143,3/11/2024,0:24:45,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
144,3/11/2024,0:24:55,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
145,3/11/2024,0:25:05,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
146,3/11/2024,0:25:15,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
147,3/11/2024,0:25:25,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
148,3/11/2024,0:25:35,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
149,3/11/2024,0:25:45,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
150,3/11/2024,0:25:55,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
151,3/11/2024,0:26:05,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
152,3/11/2024,0:26:15,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
153,3/11/2024,0:26:26,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
154,3/11/2024,0:26:36,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
155,3/11/2024,0:26:46,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
156,3/11/2024,0:26:56,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
157,3/11/2024,0:27:06,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
158,3/11/2024,0:27:16,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
159,3/11/2024,0:27:26,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
160,3/11/2024,0:27:36,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
161,3/11/2024,0:27:46,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
162,3/11/2024,0:27:56,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
163,3/11/2024,0:28:07,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
164,3/11/2024,0:28:17,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
165,3/11/2024,0:28:27,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
166,3/11/2024,0:28:37,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
167,3/11/2024,0:28:47,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
168,3/11/2024,0:28:57,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
169,3/11/2024,0:29:07,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
170,3/11/2024,0:29:17,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
171,3/11/2024,0:29:27,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
172,3/11/2024,0:29:37,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
173,3/11/2024,0:29:48,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
174,3/11/2024,0:29:58,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
175,3/11/2024,0:30:08,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
176,3/11/2024,0:30:18,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
177,3/11/2024,0:30:28,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
178,3/11/2024,0:30:38,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
179,3/11/2024,0:30:48,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
180,3/11/2024,0:30:58,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
181,3/11/2024,0:31:08,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
182,3/11/2024,0:31:18,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
183,3/11/2024,0:31:29,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
184,3/11/2024,0:31:39,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
185,3/11/2024,0:31:49,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
186,3/11/2024,0:31:59,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
187,3/11/2024,0:32:09,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
188,3/11/2024,0:32:19,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
189,3/11/2024,0:32:29,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
190,3/11/2024,0:32:39,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
191,3/11/2024,0:32:49,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
192,3/11/2024,0:32:59,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
193,3/11/2024,0:33:10,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
194,3/11/2024,0:33:20,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
195,3/11/2024,0:33:30,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
196,3/11/2024,0:33:40,30.7,29.2,29.4,1.5,,,,29.9,27.7,2.2,,,,,,,
197,3/11/2024,0:33:50,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
198,3/11/2024,0:34:00,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
199,3/11/2024,0:34:10,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
200,3/11/2024,0:34:20,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
201,3/11/2024,0:34:30,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
202,3/11/2024,0:34:40,30.7,29.3,29.4,1.4,,,,29.9,27.7,2.2,,,,,,,
203,3/11/2024,0:34:51,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
204,3/11/2024,0:35:01,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
205,3/11/2024,0:35:11,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
206,3/11/2024,0:35:21,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
207,3/11/2024,0:35:31,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
208,3/11/2024,0:35:41,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
209,3/11/2024,0:35:51,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
210,3/11/2024,0:36:01,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
211,3/11/2024,0:36:11,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
212,3/11/2024,0:36:21,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
213,3/11/2024,0:36:32,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
214,3/11/2024,0:36:42,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
215,3/11/2024,0:36:52,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
216,3/11/2024,0:37:02,30.6,29.3,29.4,1.3,,,,29.8,27.6,2.2,,,,,,,
217,3/11/2024,0:37:12,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
218,3/11/2024,0:37:22,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
219,3/11/2024,0:37:32,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
220,3/11/2024,0:37:42,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
221,3/11/2024,0:37:52,30.6,29.2,29.4,1.4,,,,29.8,27.6,2.2,,,,,,,
